userid,personality_id
8e7cebf9a234c064b75016249f2ac65e,4
8e7cebf9a234c064b75016249f2ac65e,6
8e7cebf9a234c064b75016249f2ac65e,14
8e7cebf9a234c064b75016249f2ac65e,15
8e7cebf9a234c064b75016249f2ac65e,21
77c7d756a093150d4377720abeaeef76,4
77c7d756a093150d4377720abeaeef76,9
77c7d756a093150d4377720abeaeef76,12
77c7d756a093150d4377720abeaeef76,17
77c7d756a093150d4377720abeaeef76,24
b7e8a92987a530cc368719a0e60e26a3,2
b7e8a92987a530cc368719a0e60e26a3,5
b7e8a92987a530cc368719a0e60e26a3,11
b7e8a92987a530cc368719a0e60e26a3,16
b7e8a92987a530cc368719a0e60e26a3,24
92561f21446e017dd6b68b94b23ad5b7,4
92561f21446e017dd6b68b94b23ad5b7,9
92561f21446e017dd6b68b94b23ad5b7,12
92561f21446e017dd6b68b94b23ad5b7,19
92561f21446e017dd6b68b94b23ad5b7,22
030001ac2145a938b07e686a35a2d638,4
030001ac2145a938b07e686a35a2d638,9
030001ac2145a938b07e686a35a2d638,11
030001ac2145a938b07e686a35a2d638,19
030001ac2145a938b07e686a35a2d638,21
f91b2fb085d0feb47b86fc81b10207ee,4
f91b2fb085d0feb47b86fc81b10207ee,6
f91b2fb085d0feb47b86fc81b10207ee,10
f91b2fb085d0feb47b86fc81b10207ee,16
f91b2fb085d0feb47b86fc81b10207ee,22
f7b0502be8c86203ce6acaffe59f993a,4
f7b0502be8c86203ce6acaffe59f993a,9
f7b0502be8c86203ce6acaffe59f993a,12
f7b0502be8c86203ce6acaffe59f993a,17
f7b0502be8c86203ce6acaffe59f993a,24
36f31ef9879b4de96977aeba94878581,4
36f31ef9879b4de96977aeba94878581,6
36f31ef9879b4de96977aeba94878581,12
36f31ef9879b4de96977aeba94878581,19
36f31ef9879b4de96977aeba94878581,24
2507e0e5af7f4c6bef436c8cd0e90bc3,4
2507e0e5af7f4c6bef436c8cd0e90bc3,9
2507e0e5af7f4c6bef436c8cd0e90bc3,12
2507e0e5af7f4c6bef436c8cd0e90bc3,17
2507e0e5af7f4c6bef436c8cd0e90bc3,21
4d9071f72df26fe1d04196c8c6bb126e,4
4d9071f72df26fe1d04196c8c6bb126e,9
4d9071f72df26fe1d04196c8c6bb126e,14
4d9071f72df26fe1d04196c8c6bb126e,19
4d9071f72df26fe1d04196c8c6bb126e,24
a258fd42676ec2550796eeb1b0028ea0,4
a258fd42676ec2550796eeb1b0028ea0,9
a258fd42676ec2550796eeb1b0028ea0,11
a258fd42676ec2550796eeb1b0028ea0,16
a258fd42676ec2550796eeb1b0028ea0,21
0c6e74d0739fb94e2f3c8e5605497bbd,4
0c6e74d0739fb94e2f3c8e5605497bbd,6
0c6e74d0739fb94e2f3c8e5605497bbd,14
0c6e74d0739fb94e2f3c8e5605497bbd,17
0c6e74d0739fb94e2f3c8e5605497bbd,21
b6a8cb7e55cbf2c1bde7f2b252203272,4
b6a8cb7e55cbf2c1bde7f2b252203272,9
b6a8cb7e55cbf2c1bde7f2b252203272,11
b6a8cb7e55cbf2c1bde7f2b252203272,15
b6a8cb7e55cbf2c1bde7f2b252203272,21
7211a6a66a5fc549e2d74dacfbb555b2,4
7211a6a66a5fc549e2d74dacfbb555b2,9
7211a6a66a5fc549e2d74dacfbb555b2,14
7211a6a66a5fc549e2d74dacfbb555b2,17
7211a6a66a5fc549e2d74dacfbb555b2,24
32babaf7d63853c83739e371efba6929,4
32babaf7d63853c83739e371efba6929,6
32babaf7d63853c83739e371efba6929,10
32babaf7d63853c83739e371efba6929,17
32babaf7d63853c83739e371efba6929,20
183a0f30268fa6fda7b3609f8bcf0f44,4
183a0f30268fa6fda7b3609f8bcf0f44,9
183a0f30268fa6fda7b3609f8bcf0f44,12
183a0f30268fa6fda7b3609f8bcf0f44,16
183a0f30268fa6fda7b3609f8bcf0f44,21
eefef5e8659f07c7ca44b300d51559d6,4
eefef5e8659f07c7ca44b300d51559d6,6
eefef5e8659f07c7ca44b300d51559d6,14
eefef5e8659f07c7ca44b300d51559d6,17
eefef5e8659f07c7ca44b300d51559d6,24
79a402185248690bdee40163a140fde4,4
79a402185248690bdee40163a140fde4,9
79a402185248690bdee40163a140fde4,10
79a402185248690bdee40163a140fde4,17
79a402185248690bdee40163a140fde4,24
56e60808b468eb5f0845616fe2714974,4
56e60808b468eb5f0845616fe2714974,9
56e60808b468eb5f0845616fe2714974,11
56e60808b468eb5f0845616fe2714974,19
56e60808b468eb5f0845616fe2714974,24
dd9a68f52fd23e04592bdf08af807371,4
dd9a68f52fd23e04592bdf08af807371,9
dd9a68f52fd23e04592bdf08af807371,10
dd9a68f52fd23e04592bdf08af807371,19
dd9a68f52fd23e04592bdf08af807371,24
c2daea04f1d84f2aa999c92200ec0222,4
c2daea04f1d84f2aa999c92200ec0222,7
c2daea04f1d84f2aa999c92200ec0222,11
c2daea04f1d84f2aa999c92200ec0222,17
c2daea04f1d84f2aa999c92200ec0222,24
fb6cc72fc2af933f3c6808fb9a6676c3,4
fb6cc72fc2af933f3c6808fb9a6676c3,7
fb6cc72fc2af933f3c6808fb9a6676c3,11
fb6cc72fc2af933f3c6808fb9a6676c3,19
fb6cc72fc2af933f3c6808fb9a6676c3,21
cacdd140e39b8f7d9cd5c34781ab1c7c,4
cacdd140e39b8f7d9cd5c34781ab1c7c,6
cacdd140e39b8f7d9cd5c34781ab1c7c,12
cacdd140e39b8f7d9cd5c34781ab1c7c,16
cacdd140e39b8f7d9cd5c34781ab1c7c,21
e7c8485a3bb3eab91465cc76dcbd4748,4
e7c8485a3bb3eab91465cc76dcbd4748,6
e7c8485a3bb3eab91465cc76dcbd4748,14
e7c8485a3bb3eab91465cc76dcbd4748,16
e7c8485a3bb3eab91465cc76dcbd4748,24
8bb877fc4d206e9633f41afcf6f434da,4
8bb877fc4d206e9633f41afcf6f434da,9
8bb877fc4d206e9633f41afcf6f434da,10
8bb877fc4d206e9633f41afcf6f434da,16
8bb877fc4d206e9633f41afcf6f434da,21
4889e49b9f9ee173d10403b1bbcdf807,4
4889e49b9f9ee173d10403b1bbcdf807,9
4889e49b9f9ee173d10403b1bbcdf807,14
4889e49b9f9ee173d10403b1bbcdf807,19
4889e49b9f9ee173d10403b1bbcdf807,24
977f6a958c559679b9dca86180611d47,2
977f6a958c559679b9dca86180611d47,9
977f6a958c559679b9dca86180611d47,11
977f6a958c559679b9dca86180611d47,16
977f6a958c559679b9dca86180611d47,22
485945b55ab3de6f0b9310efc3f6df6a,4
485945b55ab3de6f0b9310efc3f6df6a,9
485945b55ab3de6f0b9310efc3f6df6a,10
485945b55ab3de6f0b9310efc3f6df6a,16
485945b55ab3de6f0b9310efc3f6df6a,24
ca12127d5f1198713631a62145557cf5,4
ca12127d5f1198713631a62145557cf5,9
ca12127d5f1198713631a62145557cf5,11
ca12127d5f1198713631a62145557cf5,19
ca12127d5f1198713631a62145557cf5,24
b94e3f9b71ee6dc3098eb2a5b01c21ee,4
b94e3f9b71ee6dc3098eb2a5b01c21ee,9
b94e3f9b71ee6dc3098eb2a5b01c21ee,10
b94e3f9b71ee6dc3098eb2a5b01c21ee,19
b94e3f9b71ee6dc3098eb2a5b01c21ee,24
0eae92629ffc0a7f8e3da331d6165c22,4
0eae92629ffc0a7f8e3da331d6165c22,6
0eae92629ffc0a7f8e3da331d6165c22,11
0eae92629ffc0a7f8e3da331d6165c22,16
0eae92629ffc0a7f8e3da331d6165c22,24
4d96607fb54831bf0c2eadf935949509,4
4d96607fb54831bf0c2eadf935949509,9
4d96607fb54831bf0c2eadf935949509,11
4d96607fb54831bf0c2eadf935949509,16
4d96607fb54831bf0c2eadf935949509,24
394fbaab64153b5b0db2344c7e1bc7b8,4
394fbaab64153b5b0db2344c7e1bc7b8,9
394fbaab64153b5b0db2344c7e1bc7b8,14
394fbaab64153b5b0db2344c7e1bc7b8,19
394fbaab64153b5b0db2344c7e1bc7b8,24
0abb6de2204f89752425ce67efcb8a45,4
0abb6de2204f89752425ce67efcb8a45,9
0abb6de2204f89752425ce67efcb8a45,12
0abb6de2204f89752425ce67efcb8a45,19
0abb6de2204f89752425ce67efcb8a45,22
8a06e1eb68189ccd352d8c64f09906b8,4
8a06e1eb68189ccd352d8c64f09906b8,9
8a06e1eb68189ccd352d8c64f09906b8,12
8a06e1eb68189ccd352d8c64f09906b8,16
8a06e1eb68189ccd352d8c64f09906b8,21
a3f6f847abb6082b391ce58b93a72892,4
a3f6f847abb6082b391ce58b93a72892,9
a3f6f847abb6082b391ce58b93a72892,10
a3f6f847abb6082b391ce58b93a72892,16
a3f6f847abb6082b391ce58b93a72892,24
6cb8b74bf49c9125022d672af1a18df6,4
6cb8b74bf49c9125022d672af1a18df6,6
6cb8b74bf49c9125022d672af1a18df6,14
6cb8b74bf49c9125022d672af1a18df6,16
6cb8b74bf49c9125022d672af1a18df6,24
bf365c8d86810cb26e345d00b566dc85,4
bf365c8d86810cb26e345d00b566dc85,9
bf365c8d86810cb26e345d00b566dc85,10
bf365c8d86810cb26e345d00b566dc85,16
bf365c8d86810cb26e345d00b566dc85,24
2991b667daafb17933f40ff1147f592a,4
2991b667daafb17933f40ff1147f592a,6
2991b667daafb17933f40ff1147f592a,11
2991b667daafb17933f40ff1147f592a,16
2991b667daafb17933f40ff1147f592a,22
aa896478c00fac4050d39a232ed136d9,4
aa896478c00fac4050d39a232ed136d9,9
aa896478c00fac4050d39a232ed136d9,14
aa896478c00fac4050d39a232ed136d9,19
aa896478c00fac4050d39a232ed136d9,24
c11e293807ce2c2f67d577a50ad114eb,4
c11e293807ce2c2f67d577a50ad114eb,6
